section,key,runs,tokens,cost_usd,basis
total,all_runs,76,0,533.4432,recorded
split,first_run,44,0,309.2170,recorded
split_zero_findings,first_run,8,0,26.2656,recorded
split_token_class,first_run/cache_creation,0,0,0.0000,priced
split_token_class,first_run/cache_read,0,0,0.0000,priced
split_token_class,first_run/unknown,44,0,309.2170,recorded
split,repeat_run,32,0,224.2261,recorded
split_zero_findings,repeat_run,10,0,48.6678,recorded
split_token_class,repeat_run/cache_creation,0,0,0.0000,priced
split_token_class,repeat_run/cache_read,0,0,0.0000,priced
split_token_class,repeat_run/unknown,32,0,224.2261,recorded
token_class,cache_creation,0,0,0.0000,priced
token_class,cache_read,0,0,0.0000,priced
token_class,unknown,76,0,533.4432,recorded
ordinal,1,44,0,309.2170,recorded
ordinal,2,31,0,218.0236,recorded
ordinal,3,1,0,6.2025,recorded
ordinal,4,0,0,0.0000,recorded
ordinal,5,0,0,0.0000,recorded
ordinal,6+,0,0,0.0000,recorded
